"position","domain","city","company","experience","english","salary","technology","specialization","period","title","group","framework"
"QA/QC/SDET","Ecommerce,Big Data",12,1,2,4,800,"TypeScript","Manual QA","2024-12",3,2,"Cypress,Playwright"
"QA/QC/SDET","Ecommerce",1,3,10,4,5000,"TypeScript","Head of QA","2024-12",7,2,"Cypress,Postman,Playwright,PyTest,JSON"
"QA/QC/SDET","Ecommerce",26,3,10,4,4300,"C#/.NET","Automation QA","2024-12",5,2,"Playwright"
"QA/QC/SDET","Software Services",32,1,10,5,6000,"Python","Head of QA","2024-12",7,2,"Playwright,Selenium,Postman,JSON,NUnit"
"Software Engineer","Edtech / Education",1,3,4,4,2700,"TypeScript","Front-end","2024-12",3,1,"Angular / Angular.js"
"Software Engineer","Ecommerce",32,1,10,4,7600,"PHP","Back-end","2024-12",6,1,"Magento"
"QA/QC/SDET","Edtech / Education",24,1,10,2,1800,"Java","General QA","2024-12",4,2,"Selenide/NSelen/Selen,Selenium"
"QA/QC/SDET","Gambling",12,3,8,4,4020,"Java","Automation QA","2024-12",4,2,"Cucumber"
"Product Designer","Blockchain",32,3,4,4,5000,"",NA,"2024-12",4,14,NA
"QA/QC/SDET","Ecommerce",12,1,3,5,1220,"","Manual QA","2024-12",3,2,""
"Lead Generation Specialist","Корпоративні системи",14,3,2,3,650,"",NA,"2024-12",0,21,NA
"QA/QC/SDET","Embedded,Telecom",12,1,1,3,900,"","General QA","2024-12",2,2,""
"Director of Engineering","Blockchain,Telecom",1,3,10,5,14250,"",NA,"2024-12",12,10,NA
"Software Engineer","Adtech / Advertising",1,1,6,4,6500,"Java","Back-end","2024-12",4,1,"Hibernate,Spring,Vue.js,Ruby on Rails"
"Software Engineer","Medtech / Healthcare",1,3,5,4,3800,"JavaScript","Back-end","2024-12",4,1,"Flask"
"Software Engineer","Public services / Government",12,7,2,3,1100,"C#/.NET","Desktop","2024-12",2,1,""
"Product Owner","Fintech / Banking / Capital Management",1,3,3,5,3400,"",NA,"2024-12",4,12,NA
"HR Manager","",1,3,5,3,1500,"",NA,"2024-12",0,18,NA
"Software Engineer","Mobile",12,3,10,4,7100,"Kotlin","Mobile","2024-12",4,1,"Android SDK (Native),Jetpack Compose"
"Software Engineer","Gamedev",2,3,6,4,3800,"Java","Back-end","2024-12",4,1,"Spring"
"QA/QC/SDET","Logistics",12,3,10,3,5000,"Python","General QA","2024-12",6,2,"WebdriverIO"
"Recruiter","Human Resources",5,2,3,5,1000,"",NA,"2024-12",3,18,NA
"Software Engineer","Корпоративні системи",1,7,10,2,1950,"C#/.NET","Full Stack","2024-12",5,1,"ASP.NET,.NET,React,Next.js,jQuery"
"Software Engineer","Embedded",28,1,4,3,2700,"C","Embedded","2024-12",3,1,""
"Customer Success","Корпоративні системи",1,4,3,4,3000,"",NA,"2024-12",5,22,NA
"Software Engineer","Internet of Things,Retail,Real estate",12,3,8,4,6000,"TypeScript","Front-end","2024-12",4,1,"Angular / Angular.js"
"QA/QC/SDET","Gamedev",15,3,4,5,1250,"","Manual QA","2024-12",5,2,""
"Project Manager","Travel",12,1,4,4,2500,"",NA,"2024-12",3,11,NA
"Infrastructure Engineer","Fintech / Banking / Capital Management",1,3,5,3,5000,"Інша",NA,"2024-12",3,5,NA
"Software Engineer","Gamedev",1,4,3,4,3092,"C++","","2024-12",4,1,""
"QA/QC/SDET","Business Intelligence / Data Warehouse",20,3,7,5,3500,"","General QA","2024-12",4,2,""
"Marketing Analyst","Dating",1,4,0,4,1200,"DB langs",NA,"2024-12",2,3,NA
"QA/QC/SDET","Ecommerce",32,3,8,3,5500,"C#/.NET","Automation QA","2024-12",4,2,"Selenium,NUnit"
"Project Manager","Esignature",1,3,2,4,2100,"",NA,"2024-12",3,11,NA
"Project Manager","Real estate,Travel,Mobile",21,1,3,4,2000,"",NA,"2024-12",3,11,NA
"Software Engineer","Ecommerce",9,1,5,4,4500,"TypeScript","Front-end","2024-12",4,1,"Next.js,Node.js,React"
"DevOps","Retail,Medtech / Healthcare,Ecommerce",32,2,7,4,4000,"DB langs",NA,"2024-12",4,5,NA
"Software Engineer","Medtech / Healthcare",12,1,7,4,5600,"Salesforce","Salesforce","2024-12",4,1,""
"UI/UX Researcher","Ecommerce",1,3,1,3,1980,"",NA,"2024-12",0,14,NA
"Data Analyst","",1,3,2,4,2700,"Python",NA,"2024-12",3,3,NA
"Software Engineer","",3,1,2,3,850,"TypeScript","Full Stack","2024-12",2,1,"Nest.js,Angular / Angular.js"
"Software Engineer","Media",3,3,6,4,4100,"C#/.NET","Full Stack","2024-12",3,1,"Angular / Angular.js,ASP.NET,.NET"
"Product Manager","Legal,Public services / Government,Insurance",14,3,2,5,2500,"",NA,"2024-12",2,12,NA
"QA/QC/SDET","Fintech / Banking / Capital Management",17,3,6,4,2900,"","General QA","2024-12",5,2,""
"Business Analyst","Medtech / Healthcare",1,2,5,5,2700,"",NA,"2024-12",3,3,NA
"Product Analyst","Medtech / Healthcare",1,3,3,5,5000,"",NA,"2024-12",5,3,NA
"Software Engineer","Ecommerce",11,3,4,4,2000,"TypeScript","Front-end","2024-12",3,1,"React,Shopify,Next.js"
"Product Analyst","Aggregation",1,3,3,3,3000,"Python",NA,"2024-12",3,3,NA
"Project Manager","Agriculture,Logistics,Ecommerce",1,1,5,4,2000,"",NA,"2024-12",3,11,NA
"Software Engineer","Fintech / Banking / Capital Management",7,1,0,3,560,"C#/.NET","Back-end","2024-12",2,1,".NET,ASP.NET,Blazor"
"Software Engineer","",32,3,4,5,3600,"TypeScript","Full Stack","2024-12",3,1,"Express,React"
"Software Engineer","Fintech / Banking / Capital Management",1,2,6,4,4700,"Java","Back-end","2024-12",4,1,"Spring"
"Software Engineer","Telecom",1,1,1,5,900,"Golang","Back-end","2024-12",2,1,""
"Software Engineer","Blockchain",7,3,5,4,5000,"TypeScript","Front-end","2024-12",3,1,""
"Software Engineer","Medtech / Healthcare",1,3,10,3,4300,"PHP","Full Stack","2024-12",4,1,"Angular / Angular.js,Symfony"
"Data Analyst","Intergovernmental organisation",1,5,4,4,2305,"Python",NA,"2024-12",3,3,NA
"QA/QC/SDET","Gambling",12,3,5,4,3386,"","Manual QA","2024-12",3,2,""
"Software Engineer","",1,1,2,3,1500,"TypeScript","Mobile","2024-12",3,1,"React Native"
"QA/QC/SDET","Edtech / Education",7,1,3,4,1300,"","Manual QA","2024-12",3,2,""
"Software Engineer","Edtech / Education",26,1,2,4,2050,"C#/.NET","Full Stack","2024-12",3,1,".NET,Vue.js,ASP.NET"
"Content (Marketing) Manager","Fintech / Banking / Capital Management",1,3,7,5,2000,"",NA,"2024-12",5,20,NA
"Machine/Deep Learning Engineer","Embedded,Miltech,Machine Learning",5,4,1,4,1600,"Python",NA,"2024-12",2,4,"PyTorch,NumPy,Pandas,Matplotlib"
"Software Engineer","",12,1,5,2,1950,"JavaScript","Front-end","2024-12",3,1,"Angular / Angular.js,Electron,Express,Node.js,WordPress"
"Software Engineer","QR code tracking",21,3,7,4,2400,"JavaScript","Front-end","2024-12",4,1,"Angular / Angular.js,Vue.js,jQuery"
